sample	coverage	taxonomy
SRR9841429	0.78	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__HTCC2089; g__VXNE01; s__VXNE01 sp009840715
SRR9841429	4.19	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__HTCC2089; g__UBA2168; s__UBA2168 sp009843635
SRR9841429	3.8	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudohongiellaceae; g__UBA9145; s__UBA9145 sp009844085
SRR9841429	4.46	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__RKRP01; f__RKRP01; g__RKRP01; s__RKRP01 sp009844425
SRR9841429	6.21	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__RKRP01; f__RKRP01; g__RKRP01; s__RKRP01 sp009845905
SRR9841429	7.66	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__RKRP01; f__RKRP01; g__RKRP01; s__RKRP01 sp009838035
SRR9841429	7.99	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A; f__HTCC2089_A; g__Bin55; s__Bin55 sp009837185
SRR9841429	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A; f__HTCC2089_A; g__Bin55; s__Bin55 sp009841635
SRR9841429	0.49	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__UBA4486; f__UBA4486; g__JAAXHV01; s__JAAXHV01 sp009843675
SRR9841429	26.47	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__MPNP01; s__MPNP01 sp009842205
SRR9841429	6.7	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Bin65; f__Bin65; g__Bin65; s__Bin65 sp011523655
SRR9841429	10.03	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__Synechococcus_B; s__Synechococcus_B sp009840445
SRR9841429	9.07	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__Synechococcus_B; s__Synechococcus_B sp009836025
SRR9841429	0.53	Root; d__Bacteria; p__Poribacteria; c__WGA-4E; o__WGA-4E; f__WGA-3G; g__WGA-3G; s__WGA-3G sp009843785
SRR9841429	3.11	Root; d__Bacteria; p__Poribacteria; c__WGA-4E; o__WGA-4E; f__WGA-3G; g__WGA-3G; s__WGA-3G sp009841255
SRR9841429	0.69	Root; d__Bacteria; p__Poribacteria; c__WGA-4E; o__WGA-4E; f__WGA-3G; g__WGA-3G; s__WGA-3G sp009845545
SRR9841429	6.34	Root; d__Bacteria; p__Poribacteria; c__WGA-4E; o__WGA-4E; f__WGA-3G; g__MSPOR6; s__MSPOR6 sp009839975
SRR9841429	77.57	Root; d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Rhodothermales; f__Bin80; g__Bin80; s__Bin80 sp009838195
SRR9841429	8.17	Root; d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Rhodothermales; f__Bin80; g__Bin80; s__Bin80 sp009841335
SRR9841429	2.16	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA2979; f__UBA2979; g__VXMT01; s__VXMT01 sp009837285
SRR9841429	2.78	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA2979; f__UBA2979; g__VXMT01; s__VXMT01 sp009840965
SRR9841429	1.9	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA2979; f__UBA2979; g__VYDC01; s__VYDC01 sp009843585
SRR9841429	4.73	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Tepidiformales; f__Tepidiformaceae; g__UBA2991; s__UBA2991 sp009839725
SRR9841429	1.55	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA3495; f__UBA3495; g__Bin87; s__Bin87 sp009837355
SRR9841429	0.61	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA3495; f__UBA3495; g__Bin22; s__Bin22 sp009840135
SRR9841429	0.72	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA3495; f__UBA3495; g__VXOI01; s__VXOI01 sp009840175
SRR9841429	0.54	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__SAR202; f__VXLM01; g__VXLM01; s__VXLM01 sp009841605
SRR9841429	1.55	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__SAR202; f__UBA11138; g__VXRN01; s__VXRN01 sp009838465
SRR9841429	1.1	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA2963; f__UBA2963; g__Bin16; s__Bin16 sp009838965
SRR9841429	3.77	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Bin125; f__Bin125; g__Bin125; s__Bin125 sp009838735
SRR9841429	2.01	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__Bin34; s__Bin34 sp009841145
SRR9841429	1.68	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__Bin5; s__Bin5 sp009841235
SRR9841429	3.72	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Aggregatilineales; f__Phototrophicaceae; g__UBA6055; s__UBA6055 sp009840575
SRR9841429	0.86	Root; d__Bacteria; p__Chloroflexota; c__UBA11872; o__UBA11872; f__VXNJ01; g__VXNJ01; s__VXNJ01 sp009840625
SRR9841429	14.95	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales; f__UBA6960; g__Bin94; s__Bin94 sp009841475
